simulation_id,attack_id,cost
1137,1,102793338.27880475
1137,2,90406507.69436318
1138,1,95370590.44505183
1140,1,108272003.13380219
1149,1,95307484.93142785
1150,1,93800762.6491449
1152,1,113880028.82290214
1153,1,89201865.57271805
1154,1,88765539.13876647
1157,1,96359462.81254026
1159,1,108266000.83755577
1162,1,92680985.21169972
1162,2,90071830.73214796
1163,1,85258022.03062859
1166,1,112612664.07622224
1167,1,103490873.14079638
1167,2,110715093.02101883
1168,1,92864868.49248864
1169,1,82769950.69942614
1170,1,91753712.28889775
1171,1,105657795.20137314
1173,1,94113718.77207883
1174,1,107005990.16071391
1176,1,112283544.48462853
1177,1,103533993.94981991
1178,1,125543349.25381507
1180,1,97780409.26188064
1181,1,87291022.91710633
1189,1,97558028.31513356
1191,1,107993331.46144597
1194,1,112120523.06614031
1194,2,95107918.53170949
1199,1,102070474.28239447
1201,1,89317148.06171526
1202,1,98124433.28391212
1202,2,96303196.81586464
1202,3,85866587.77303022
1203,1,112515388.73540872
1203,2,99620046.33362268
1205,1,95004784.3873558
1209,1,112109002.90144415
1210,1,102621215.91212195
1211,1,120281622.59578526
1211,2,111907278.85922676
1213,1,91534499.44916247
1217,1,102787291.49623872
1218,1,86993146.98634525
1219,1,112422964.52461565
1222,1,84237803.00517209
1222,2,112163844.57407352
1223,1,83948032.0595603
1223,2,107865795.22970785
1225,1,111094141.95721896
1226,1,86267850.92557198
1228,1,96866749.45593007
1230,1,76618360.66737193
1231,1,103878069.86709882
1235,1,100790244.36194795
1236,1,99259115.34754167
1236,2,83952478.15217404
1239,1,118489445.63559075
1240,1,94836144.77077684
1240,2,115604715.29591249
1242,1,114953277.89149946
1243,1,101008994.89786431
1247,1,112024270.6376284
1248,1,78516756.31065007
1248,2,102693179.3523891
1248,3,104776871.08578186
1249,1,86956376.89620507
1249,2,86264177.51229244
1250,1,93855033.67281345
1251,1,99834673.436139
1254,1,80812818.14477709
1255,1,96528016.22410154
1255,2,93996310.83773606
1256,1,85587860.2707285
1256,2,97242130.47420052
1256,3,96794085.06323688
1256,4,98202091.55877563
1262,1,95521734.75698383
1265,1,98330049.97543216
1267,1,100519556.74784718
1271,1,94253336.68190545
1273,1,102691632.0972374
1277,1,103629893.92200704
1279,1,107739187.6863413
1283,1,95311152.60113108
1283,2,98092175.4078619
1283,3,78740587.326266
1287,1,108408788.58686802
1287,2,112506476.99461831
1289,1,112566532.18248972
1290,1,114577650.20332626
1292,1,89401349.83082029
1292,2,105731716.9908018
1293,1,87646137.20569338
1295,1,110765990.06495611
1298,1,101421904.9988339
1299,1,110275951.74231371
1300,1,121080820.63782151
1301,1,100930644.02190939
1301,2,113010692.09236626
1301,3,90670474.1444859
1301,4,105240640.9617167
1303,1,130079639.1428644
1306,1,98403324.32706235
1310,1,105911621.58546136
1312,1,106648559.4542109
1312,2,95907169.24603851
1313,1,106994197.55394632
1316,1,99679471.5767167
1318,1,93300161.3459366
1318,2,84665241.56648383
1321,1,115373300.39849338
1321,2,114316576.5859788
1323,1,87642601.74474481
1323,2,115184209.77468656
1324,1,106654380.78325051
1324,2,97798570.10074805
1325,1,90709453.70189206
1325,2,99395589.33148354
1325,3,90544613.84567377
1326,1,119273793.2227468
1329,1,100901087.46143931
1333,1,105191496.15793669
1336,1,102352983.11691505
1337,1,101004888.54974037
1337,2,98438272.76585834
1340,1,90600623.418571
1340,2,111913716.86064604
